epoch: 1, time: 04:59:02, lr: 1.50e-04 - train si-snr: -7.23e+00 - valid si-snr: -8.05e+00, valid pesq: 2.24
epoch: 2, time: 04:59:19, lr: 1.50e-04 - train si-snr: -8.53e+00 - valid si-snr: -9.00e+00, valid pesq: 2.33
epoch: 3, time: 04:59:52, lr: 1.50e-04 - train si-snr: -9.08e+00 - valid si-snr: -9.28e+00, valid pesq: 2.37
epoch: 4, time: 04:59:43, lr: 1.50e-04 - train si-snr: -9.25e+00 - valid si-snr: -9.46e+00, valid pesq: 2.38
epoch: 5, time: 04:59:23, lr: 1.50e-04 - train si-snr: -9.37e+00 - valid si-snr: -9.59e+00, valid pesq: 2.44
epoch: 6, time: 04:59:43, lr: 1.50e-04 - train si-snr: -9.61e+00 - valid si-snr: -9.73e+00, valid pesq: 2.46
epoch: 7, time: 04:59:53, lr: 1.50e-04 - train si-snr: -9.67e+00 - valid si-snr: -9.78e+00, valid pesq: 2.47
epoch: 8, time: 05:00:24, lr: 1.50e-04 - train si-snr: -9.70e+00 - valid si-snr: -9.89e+00, valid pesq: 2.44
epoch: 9, time: 05:00:17, lr: 1.50e-04 - train si-snr: -9.69e+00 - valid si-snr: -9.91e+00, valid pesq: 2.47
epoch: 10, time: 05:00:41, lr: 1.50e-04 - train si-snr: -9.86e+00 - valid si-snr: -1.00e+01, valid pesq: 2.45
epoch: 11, time: 05:00:37, lr: 1.50e-04 - train si-snr: -9.98e+00 - valid si-snr: -1.01e+01, valid pesq: 2.46
epoch: 12, time: 05:00:34, lr: 1.50e-04 - train si-snr: -1.01e+01 - valid si-snr: -1.02e+01, valid pesq: 2.53
epoch: 13, time: 05:01:20, lr: 1.50e-04 - train si-snr: -1.00e+01 - valid si-snr: -1.02e+01, valid pesq: 2.48
epoch: 14, time: 05:01:43, lr: 1.50e-04 - train si-snr: -1.01e+01 - valid si-snr: -1.02e+01, valid pesq: 2.48
epoch: 15, time: 05:01:06, lr: 1.50e-04 - train si-snr: -1.02e+01 - valid si-snr: -1.03e+01, valid pesq: 2.54
epoch: 16, time: 05:01:31, lr: 1.50e-04 - train si-snr: -9.65e+00 - valid si-snr: -9.72e+00, valid pesq: 2.45
