epoch: 1, time: 00:23, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 1.96 - valid loss: 6.69e-01, valid CER: 15.39, valid WER: 40.46
epoch: 2, time: 00:26, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 8.19e-01 - valid loss: 5.23e-01, valid CER: 12.29, valid WER: 33.22
epoch: 3, time: 00:25, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 6.35e-01 - valid loss: 4.96e-01, valid CER: 11.83, valid WER: 32.07
epoch: 4, time: 00:27, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 4.96e-01 - valid loss: 4.75e-01, valid CER: 10.74, valid WER: 29.44
epoch: 5, time: 00:26, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 3.88e-01 - valid loss: 4.96e-01, valid CER: 9.77, valid WER: 26.32
epoch: 6, time: 00:26, lr_model: 8.00e-01, lr_wav2vec: 9.00e-05 - train loss: 3.69e-01 - valid loss: 5.26e-01, valid CER: 10.41, valid WER: 27.63
epoch: 7, time: 00:25, lr_model: 6.40e-01, lr_wav2vec: 8.10e-05 - train loss: 2.58e-01 - valid loss: 5.55e-01, valid CER: 10.36, valid WER: 26.48
epoch: 8, time: 00:26, lr_model: 5.12e-01, lr_wav2vec: 7.29e-05 - train loss: 2.53e-01 - valid loss: 6.02e-01, valid CER: 10.33, valid WER: 25.66
epoch: 9, time: 00:26, lr_model: 4.10e-01, lr_wav2vec: 6.56e-05 - train loss: 2.52e-01 - valid loss: 5.94e-01, valid CER: 10.10, valid WER: 25.66
epoch: 10, time: 00:25, lr_model: 4.10e-01, lr_wav2vec: 6.56e-05 - train loss: 2.10e-01 - valid loss: 5.58e-01, valid CER: 9.80, valid WER: 25.33
epoch: 11, time: 00:26, lr_model: 4.10e-01, lr_wav2vec: 6.56e-05 - train loss: 2.27e-01 - valid loss: 5.58e-01, valid CER: 9.80, valid WER: 25.66
epoch: 12, time: 00:28, lr_model: 3.28e-01, lr_wav2vec: 5.90e-05 - train loss: 1.87e-01 - valid loss: 5.27e-01, valid CER: 9.69, valid WER: 25.49
epoch: 13, time: 00:29, lr_model: 3.28e-01, lr_wav2vec: 5.90e-05 - train loss: 2.07e-01 - valid loss: 5.28e-01, valid CER: 9.62, valid WER: 25.33
