epoch: 1, time: 01:44, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 1.38 - valid loss: 6.61e-01, valid CER: 14.13, valid WER: 36.50
epoch: 2, time: 01:42, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 7.55e-01 - valid loss: 5.93e-01, valid CER: 12.16, valid WER: 31.71
epoch: 3, time: 01:41, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 5.93e-01 - valid loss: 5.88e-01, valid CER: 11.68, valid WER: 29.93
epoch: 4, time: 01:41, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 5.15e-01 - valid loss: 5.96e-01, valid CER: 11.47, valid WER: 29.97
epoch: 5, time: 01:42, lr_model: 8.00e-01, lr_wav2vec: 9.00e-05 - train loss: 4.29e-01 - valid loss: 5.96e-01, valid CER: 11.13, valid WER: 28.70
epoch: 6, time: 01:41, lr_model: 6.40e-01, lr_wav2vec: 8.10e-05 - train loss: 3.68e-01 - valid loss: 6.41e-01, valid CER: 11.00, valid WER: 28.15
epoch: 7, time: 01:40, lr_model: 5.12e-01, lr_wav2vec: 7.29e-05 - train loss: 3.39e-01 - valid loss: 6.54e-01, valid CER: 10.38, valid WER: 27.47
epoch: 8, time: 01:41, lr_model: 4.10e-01, lr_wav2vec: 6.56e-05 - train loss: 3.08e-01 - valid loss: 6.48e-01, valid CER: 10.63, valid WER: 27.77
epoch: 9, time: 01:41, lr_model: 4.10e-01, lr_wav2vec: 6.56e-05 - train loss: 2.77e-01 - valid loss: 6.33e-01, valid CER: 10.20, valid WER: 26.62
epoch: 10, time: 01:21, lr_model: 4.10e-01, lr_wav2vec: 6.56e-05 - train loss: 2.59e-01 - valid loss: 7.16e-01, valid CER: 10.03, valid WER: 26.41
epoch: 11, time: 01:11, lr_model: 3.28e-01, lr_wav2vec: 5.90e-05 - train loss: 2.22e-01 - valid loss: 6.68e-01, valid CER: 10.21, valid WER: 25.90
epoch: 12, time: 01:12, lr_model: 3.28e-01, lr_wav2vec: 5.90e-05 - train loss: 2.08e-01 - valid loss: 7.04e-01, valid CER: 10.12, valid WER: 25.94
epoch: 13, time: 01:10, lr_model: 2.62e-01, lr_wav2vec: 5.31e-05 - train loss: 2.00e-01 - valid loss: 7.10e-01, valid CER: 10.16, valid WER: 25.73
epoch: 14, time: 01:11, lr_model: 2.10e-01, lr_wav2vec: 4.78e-05 - train loss: 1.82e-01 - valid loss: 7.07e-01, valid CER: 10.03, valid WER: 25.73
epoch: 15, time: 01:10, lr_model: 2.10e-01, lr_wav2vec: 4.78e-05 - train loss: 1.71e-01 - valid loss: 7.24e-01, valid CER: 9.84, valid WER: 25.31
epoch: 16, time: 01:10, lr_model: 1.68e-01, lr_wav2vec: 4.30e-05 - train loss: 1.61e-01 - valid loss: 7.19e-01, valid CER: 10.02, valid WER: 25.26
epoch: 17, time: 01:11, lr_model: 1.68e-01, lr_wav2vec: 4.30e-05 - train loss: 1.52e-01 - valid loss: 7.17e-01, valid CER: 9.66, valid WER: 23.82
epoch: 18, time: 01:10, lr_model: 1.68e-01, lr_wav2vec: 4.30e-05 - train loss: 1.42e-01 - valid loss: 7.22e-01, valid CER: 9.89, valid WER: 25.10
epoch: 19, time: 01:11, lr_model: 1.34e-01, lr_wav2vec: 3.87e-05 - train loss: 1.46e-01 - valid loss: 7.42e-01, valid CER: 9.56, valid WER: 24.93
epoch: 20, time: 01:10, lr_model: 1.07e-01, lr_wav2vec: 3.49e-05 - train loss: 1.39e-01 - valid loss: 7.09e-01, valid CER: 9.67, valid WER: 25.56
epoch: 21, time: 01:11, lr_model: 1.07e-01, lr_wav2vec: 3.49e-05 - train loss: 1.28e-01 - valid loss: 7.20e-01, valid CER: 10.01, valid WER: 25.52
epoch: 22, time: 01:11, lr_model: 8.59e-02, lr_wav2vec: 3.14e-05 - train loss: 1.05e-01 - valid loss: 7.65e-01, valid CER: 9.85, valid WER: 24.59
epoch: 23, time: 01:10, lr_model: 6.87e-02, lr_wav2vec: 2.82e-05 - train loss: 1.13e-01 - valid loss: 7.29e-01, valid CER: 9.81, valid WER: 24.59
epoch: 24, time: 01:11, lr_model: 6.87e-02, lr_wav2vec: 2.82e-05 - train loss: 1.13e-01 - valid loss: 7.27e-01, valid CER: 9.51, valid WER: 24.59
epoch: 25, time: 01:11, lr_model: 5.50e-02, lr_wav2vec: 2.54e-05 - train loss: 1.16e-01 - valid loss: 7.35e-01, valid CER: 9.70, valid WER: 24.80
epoch: 26, time: 01:10, lr_model: 4.40e-02, lr_wav2vec: 2.29e-05 - train loss: 1.04e-01 - valid loss: 7.45e-01, valid CER: 9.42, valid WER: 23.74
epoch: 27, time: 01:10, lr_model: 3.52e-02, lr_wav2vec: 2.06e-05 - train loss: 1.05e-01 - valid loss: 7.68e-01, valid CER: 9.33, valid WER: 23.99
epoch: 28, time: 01:10, lr_model: 2.81e-02, lr_wav2vec: 1.85e-05 - train loss: 1.02e-01 - valid loss: 7.77e-01, valid CER: 9.54, valid WER: 24.67
epoch: 29, time: 01:11, lr_model: 2.25e-02, lr_wav2vec: 1.67e-05 - train loss: 1.02e-01 - valid loss: 7.65e-01, valid CER: 9.49, valid WER: 24.93
epoch: 30, time: 01:15, lr_model: 2.25e-02, lr_wav2vec: 1.67e-05 - train loss: 9.84e-02 - valid loss: 7.63e-01, valid CER: 9.35, valid WER: 24.16
