epoch: 1, time: 00:44, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 1.28 - valid loss: 5.86e-01, valid CER: 11.18, valid WER: 29.48
epoch: 2, time: 00:44, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 6.42e-01 - valid loss: 4.82e-01, valid CER: 9.16, valid WER: 24.91
epoch: 3, time: 00:43, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 5.22e-01 - valid loss: 4.50e-01, valid CER: 8.65, valid WER: 23.60
epoch: 4, time: 00:44, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 4.08e-01 - valid loss: 4.74e-01, valid CER: 8.46, valid WER: 23.39
epoch: 5, time: 00:53, lr_model: 8.00e-01, lr_wav2vec: 9.00e-05 - train loss: 3.68e-01 - valid loss: 4.94e-01, valid CER: 8.33, valid WER: 22.49
epoch: 6, time: 00:53, lr_model: 6.40e-01, lr_wav2vec: 8.10e-05 - train loss: 3.40e-01 - valid loss: 4.89e-01, valid CER: 8.40, valid WER: 23.11
epoch: 7, time: 00:53, lr_model: 6.40e-01, lr_wav2vec: 8.10e-05 - train loss: 2.97e-01 - valid loss: 4.88e-01, valid CER: 8.32, valid WER: 22.15
epoch: 8, time: 00:53, lr_model: 5.12e-01, lr_wav2vec: 7.29e-05 - train loss: 2.51e-01 - valid loss: 5.16e-01, valid CER: 7.74, valid WER: 21.11
epoch: 9, time: 00:54, lr_model: 4.10e-01, lr_wav2vec: 6.56e-05 - train loss: 2.13e-01 - valid loss: 5.43e-01, valid CER: 7.81, valid WER: 22.15
epoch: 10, time: 00:53, lr_model: 3.28e-01, lr_wav2vec: 5.90e-05 - train loss: 2.05e-01 - valid loss: 5.54e-01, valid CER: 7.88, valid WER: 21.59
epoch: 11, time: 00:54, lr_model: 2.62e-01, lr_wav2vec: 5.31e-05 - train loss: 2.12e-01 - valid loss: 6.08e-01, valid CER: 7.75, valid WER: 22.28
epoch: 12, time: 00:53, lr_model: 2.10e-01, lr_wav2vec: 4.78e-05 - train loss: 1.78e-01 - valid loss: 5.80e-01, valid CER: 7.81, valid WER: 21.87
epoch: 13, time: 00:54, lr_model: 2.10e-01, lr_wav2vec: 4.78e-05 - train loss: 1.69e-01 - valid loss: 6.48e-01, valid CER: 7.67, valid WER: 21.11
epoch: 14, time: 00:54, lr_model: 1.68e-01, lr_wav2vec: 4.30e-05 - train loss: 1.56e-01 - valid loss: 6.29e-01, valid CER: 7.76, valid WER: 21.25
epoch: 15, time: 00:53, lr_model: 1.68e-01, lr_wav2vec: 4.30e-05 - train loss: 1.63e-01 - valid loss: 6.24e-01, valid CER: 7.69, valid WER: 20.83
epoch: 16, time: 00:53, lr_model: 1.68e-01, lr_wav2vec: 4.30e-05 - train loss: 1.49e-01 - valid loss: 6.41e-01, valid CER: 8.02, valid WER: 22.28
epoch: 17, time: 00:53, lr_model: 1.34e-01, lr_wav2vec: 3.87e-05 - train loss: 1.41e-01 - valid loss: 6.52e-01, valid CER: 8.02, valid WER: 22.35
epoch: 18, time: 00:53, lr_model: 1.07e-01, lr_wav2vec: 3.49e-05 - train loss: 1.29e-01 - valid loss: 6.40e-01, valid CER: 8.09, valid WER: 22.08
epoch: 19, time: 00:54, lr_model: 1.07e-01, lr_wav2vec: 3.49e-05 - train loss: 1.27e-01 - valid loss: 6.41e-01, valid CER: 7.91, valid WER: 21.73
epoch: 20, time: 00:53, lr_model: 8.59e-02, lr_wav2vec: 3.14e-05 - train loss: 1.35e-01 - valid loss: 6.31e-01, valid CER: 7.67, valid WER: 20.97
epoch: 21, time: 00:53, lr_model: 8.59e-02, lr_wav2vec: 3.14e-05 - train loss: 1.23e-01 - valid loss: 6.27e-01, valid CER: 7.76, valid WER: 20.35
epoch: 22, time: 00:53, lr_model: 8.59e-02, lr_wav2vec: 3.14e-05 - train loss: 1.06e-01 - valid loss: 6.57e-01, valid CER: 7.83, valid WER: 20.97
epoch: 23, time: 00:54, lr_model: 6.87e-02, lr_wav2vec: 2.82e-05 - train loss: 1.06e-01 - valid loss: 6.19e-01, valid CER: 7.67, valid WER: 20.97
epoch: 24, time: 00:53, lr_model: 6.87e-02, lr_wav2vec: 2.82e-05 - train loss: 1.07e-01 - valid loss: 6.21e-01, valid CER: 7.63, valid WER: 21.25
epoch: 25, time: 00:53, lr_model: 5.50e-02, lr_wav2vec: 2.54e-05 - train loss: 1.24e-01 - valid loss: 6.43e-01, valid CER: 7.81, valid WER: 21.38
epoch: 26, time: 00:53, lr_model: 4.40e-02, lr_wav2vec: 2.29e-05 - train loss: 9.10e-02 - valid loss: 6.46e-01, valid CER: 8.01, valid WER: 21.80
epoch: 27, time: 00:53, lr_model: 3.52e-02, lr_wav2vec: 2.06e-05 - train loss: 8.78e-02 - valid loss: 6.56e-01, valid CER: 7.82, valid WER: 21.80
epoch: 28, time: 00:53, lr_model: 2.81e-02, lr_wav2vec: 1.85e-05 - train loss: 9.21e-02 - valid loss: 6.83e-01, valid CER: 7.81, valid WER: 21.18
epoch: 29, time: 00:53, lr_model: 2.25e-02, lr_wav2vec: 1.67e-05 - train loss: 9.37e-02 - valid loss: 6.37e-01, valid CER: 7.54, valid WER: 20.62
epoch: 30, time: 00:52, lr_model: 2.25e-02, lr_wav2vec: 1.67e-05 - train loss: 8.73e-02 - valid loss: 6.53e-01, valid CER: 7.49, valid WER: 20.62
epoch: 31, time: 00:53, lr_model: 1.80e-02, lr_wav2vec: 1.50e-05 - train loss: 8.47e-02 - valid loss: 6.69e-01, valid CER: 7.48, valid WER: 20.14
epoch: 32, time: 00:53, lr_model: 1.44e-02, lr_wav2vec: 1.35e-05 - train loss: 9.55e-02 - valid loss: 6.59e-01, valid CER: 7.75, valid WER: 20.76
epoch: 33, time: 00:53, lr_model: 1.44e-02, lr_wav2vec: 1.35e-05 - train loss: 7.87e-02 - valid loss: 6.73e-01, valid CER: 7.51, valid WER: 19.72
epoch: 34, time: 00:54, lr_model: 1.15e-02, lr_wav2vec: 1.22e-05 - train loss: 9.28e-02 - valid loss: 6.64e-01, valid CER: 7.75, valid WER: 20.48
epoch: 35, time: 00:54, lr_model: 1.15e-02, lr_wav2vec: 1.22e-05 - train loss: 7.78e-02 - valid loss: 6.64e-01, valid CER: 7.65, valid WER: 20.69
epoch: 36, time: 00:53, lr_model: 9.22e-03, lr_wav2vec: 1.09e-05 - train loss: 7.65e-02 - valid loss: 6.75e-01, valid CER: 7.63, valid WER: 20.62
epoch: 37, time: 00:53, lr_model: 7.38e-03, lr_wav2vec: 9.85e-06 - train loss: 7.05e-02 - valid loss: 6.63e-01, valid CER: 7.56, valid WER: 20.14
epoch: 38, time: 00:53, lr_model: 7.38e-03, lr_wav2vec: 9.85e-06 - train loss: 8.17e-02 - valid loss: 6.70e-01, valid CER: 7.63, valid WER: 20.69
epoch: 39, time: 00:52, lr_model: 5.90e-03, lr_wav2vec: 8.86e-06 - train loss: 7.04e-02 - valid loss: 6.61e-01, valid CER: 7.56, valid WER: 20.69
epoch: 40, time: 00:53, lr_model: 5.90e-03, lr_wav2vec: 8.86e-06 - train loss: 6.48e-02 - valid loss: 6.76e-01, valid CER: 7.54, valid WER: 20.69
epoch: 41, time: 00:53, lr_model: 4.72e-03, lr_wav2vec: 7.98e-06 - train loss: 7.78e-02 - valid loss: 6.84e-01, valid CER: 7.55, valid WER: 20.48
epoch: 42, time: 00:51, lr_model: 3.78e-03, lr_wav2vec: 7.18e-06 - train loss: 7.81e-02 - valid loss: 6.76e-01, valid CER: 7.45, valid WER: 20.28
epoch: 43, time: 00:49, lr_model: 3.78e-03, lr_wav2vec: 7.18e-06 - train loss: 7.89e-02 - valid loss: 6.74e-01, valid CER: 7.51, valid WER: 20.21
epoch: 44, time: 00:45, lr_model: 3.02e-03, lr_wav2vec: 6.46e-06 - train loss: 7.56e-02 - valid loss: 6.90e-01, valid CER: 7.56, valid WER: 20.62
epoch: 45, time: 00:44, lr_model: 2.42e-03, lr_wav2vec: 5.81e-06 - train loss: 7.54e-02 - valid loss: 6.80e-01, valid CER: 7.46, valid WER: 20.21
Epoch loaded: 33 - test loss: 6.56e-01, test CER: 7.58, test WER: 20.05
