epoch: 1, time: 00:17, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 2.71 - valid loss: 1.84, valid CER: 35.94, valid WER: 74.84
epoch: 2, time: 00:15, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 1.69 - valid loss: 1.62, valid CER: 31.01, valid WER: 68.63
epoch: 3, time: 00:15, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 1.36 - valid loss: 1.52, valid CER: 30.22, valid WER: 65.36
epoch: 4, time: 00:15, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 1.15 - valid loss: 1.39, valid CER: 27.95, valid WER: 61.11
epoch: 5, time: 00:15, lr_model: 1.00e+00, lr_wav2vec: 1.00e-04 - train loss: 9.68e-01 - valid loss: 1.47, valid CER: 27.21, valid WER: 62.75
epoch: 6, time: 00:15, lr_model: 8.00e-01, lr_wav2vec: 9.00e-05 - train loss: 7.35e-01 - valid loss: 1.44, valid CER: 25.40, valid WER: 57.84
epoch: 7, time: 00:15, lr_model: 8.00e-01, lr_wav2vec: 9.00e-05 - train loss: 7.78e-01 - valid loss: 1.42, valid CER: 24.66, valid WER: 57.52
epoch: 8, time: 00:15, lr_model: 8.00e-01, lr_wav2vec: 9.00e-05 - train loss: 6.06e-01 - valid loss: 1.47, valid CER: 23.92, valid WER: 55.23
epoch: 9, time: 00:15, lr_model: 6.40e-01, lr_wav2vec: 8.10e-05 - train loss: 4.97e-01 - valid loss: 1.42, valid CER: 23.92, valid WER: 55.88
epoch: 10, time: 00:15, lr_model: 6.40e-01, lr_wav2vec: 8.10e-05 - train loss: 4.44e-01 - valid loss: 1.55, valid CER: 23.07, valid WER: 55.88
epoch: 11, time: 00:15, lr_model: 5.12e-01, lr_wav2vec: 7.29e-05 - train loss: 4.23e-01 - valid loss: 1.56, valid CER: 23.98, valid WER: 57.52
epoch: 12, time: 00:15, lr_model: 4.10e-01, lr_wav2vec: 6.56e-05 - train loss: 3.73e-01 - valid loss: 1.54, valid CER: 23.64, valid WER: 54.90
epoch: 13, time: 00:15, lr_model: 4.10e-01, lr_wav2vec: 6.56e-05 - train loss: 3.58e-01 - valid loss: 1.52, valid CER: 24.26, valid WER: 55.88
epoch: 14, time: 00:15, lr_model: 4.10e-01, lr_wav2vec: 6.56e-05 - train loss: 3.16e-01 - valid loss: 1.60, valid CER: 23.64, valid WER: 52.29
epoch: 15, time: 00:15, lr_model: 3.28e-01, lr_wav2vec: 5.90e-05 - train loss: 2.70e-01 - valid loss: 1.63, valid CER: 21.94, valid WER: 52.61
epoch: 16, time: 00:15, lr_model: 2.62e-01, lr_wav2vec: 5.31e-05 - train loss: 2.29e-01 - valid loss: 1.63, valid CER: 22.39, valid WER: 54.25
epoch: 17, time: 00:15, lr_model: 2.10e-01, lr_wav2vec: 4.78e-05 - train loss: 2.60e-01 - valid loss: 1.71, valid CER: 22.73, valid WER: 52.29
epoch: 18, time: 00:15, lr_model: 1.68e-01, lr_wav2vec: 4.30e-05 - train loss: 2.32e-01 - valid loss: 1.69, valid CER: 22.28, valid WER: 51.31
epoch: 19, time: 00:15, lr_model: 1.68e-01, lr_wav2vec: 4.30e-05 - train loss: 2.19e-01 - valid loss: 1.75, valid CER: 23.07, valid WER: 51.96
epoch: 20, time: 00:15, lr_model: 1.34e-01, lr_wav2vec: 3.87e-05 - train loss: 2.19e-01 - valid loss: 1.79, valid CER: 23.53, valid WER: 52.94
epoch: 21, time: 00:15, lr_model: 1.07e-01, lr_wav2vec: 3.49e-05 - train loss: 1.89e-01 - valid loss: 1.80, valid CER: 22.85, valid WER: 49.02
epoch: 22, time: 00:15, lr_model: 8.59e-02, lr_wav2vec: 3.14e-05 - train loss: 1.75e-01 - valid loss: 1.81, valid CER: 23.41, valid WER: 51.63
epoch: 23, time: 00:15, lr_model: 6.87e-02, lr_wav2vec: 2.82e-05 - train loss: 1.52e-01 - valid loss: 1.85, valid CER: 22.96, valid WER: 48.69
epoch: 24, time: 00:15, lr_model: 5.50e-02, lr_wav2vec: 2.54e-05 - train loss: 1.43e-01 - valid loss: 1.86, valid CER: 23.19, valid WER: 50.00
epoch: 25, time: 00:15, lr_model: 4.40e-02, lr_wav2vec: 2.29e-05 - train loss: 1.67e-01 - valid loss: 1.80, valid CER: 22.51, valid WER: 50.33
epoch: 26, time: 00:15, lr_model: 4.40e-02, lr_wav2vec: 2.29e-05 - train loss: 1.30e-01 - valid loss: 1.83, valid CER: 23.53, valid WER: 52.29
epoch: 27, time: 00:15, lr_model: 3.52e-02, lr_wav2vec: 2.06e-05 - train loss: 1.23e-01 - valid loss: 1.87, valid CER: 23.13, valid WER: 51.63
epoch: 28, time: 00:15, lr_model: 2.81e-02, lr_wav2vec: 1.85e-05 - train loss: 1.77e-01 - valid loss: 1.84, valid CER: 22.68, valid WER: 49.35
epoch: 29, time: 00:15, lr_model: 2.81e-02, lr_wav2vec: 1.85e-05 - train loss: 1.45e-01 - valid loss: 1.92, valid CER: 22.73, valid WER: 50.65
epoch: 30, time: 00:15, lr_model: 2.25e-02, lr_wav2vec: 1.67e-05 - train loss: 1.20e-01 - valid loss: 1.88, valid CER: 22.96, valid WER: 51.31
epoch: 31, time: 00:15, lr_model: 2.25e-02, lr_wav2vec: 1.67e-05 - train loss: 1.03e-01 - valid loss: 1.97, valid CER: 22.73, valid WER: 49.35
epoch: 32, time: 00:15, lr_model: 1.80e-02, lr_wav2vec: 1.50e-05 - train loss: 1.73e-01 - valid loss: 1.92, valid CER: 22.79, valid WER: 48.37
epoch: 33, time: 00:15, lr_model: 1.80e-02, lr_wav2vec: 1.50e-05 - train loss: 1.12e-01 - valid loss: 1.94, valid CER: 22.22, valid WER: 48.37
epoch: 34, time: 00:15, lr_model: 1.44e-02, lr_wav2vec: 1.35e-05 - train loss: 1.41e-01 - valid loss: 1.89, valid CER: 22.28, valid WER: 48.04
epoch: 35, time: 00:15, lr_model: 1.44e-02, lr_wav2vec: 1.35e-05 - train loss: 1.30e-01 - valid loss: 1.94, valid CER: 22.00, valid WER: 48.04
epoch: 36, time: 00:15, lr_model: 1.15e-02, lr_wav2vec: 1.22e-05 - train loss: 1.13e-01 - valid loss: 1.92, valid CER: 22.17, valid WER: 48.37
epoch: 37, time: 00:15, lr_model: 1.15e-02, lr_wav2vec: 1.22e-05 - train loss: 1.08e-01 - valid loss: 1.91, valid CER: 22.17, valid WER: 48.37
epoch: 38, time: 00:15, lr_model: 1.15e-02, lr_wav2vec: 1.22e-05 - train loss: 1.27e-01 - valid loss: 1.88, valid CER: 22.45, valid WER: 49.35
epoch: 39, time: 00:15, lr_model: 1.15e-02, lr_wav2vec: 1.22e-05 - train loss: 1.16e-01 - valid loss: 1.87, valid CER: 22.22, valid WER: 48.04
epoch: 40, time: 00:15, lr_model: 1.15e-02, lr_wav2vec: 1.22e-05 - train loss: 8.00e-02 - valid loss: 1.91, valid CER: 22.39, valid WER: 48.04
